KdBar,Barcode,Nmbar,KdKel,NmKel,HBeli,HPokok,HJual,markup,HTetap,Mst,StMin,StMax,StAwal,StMasuk,StKeluar,Konsi,Disc,Foto,HJUAL2,HJUAL3,MARKUP2,MARKUP3,QTY2,QTY3
'8992761166038,'8992761166038,MINUTE MAID PULPY ORANGE,BTL,MINUMAN,4300,4300,7000,62.7907,N,N,0,0,24,182,484,N,0,,0,0,0,0,0,0
'8998866500708,'8998866500708,FLORIDINA,BTL,MINUMAN,2750,2750,5000,81.81818,N,N,0,0,24,130,532,N,0,,0,0,0,0,0,0
'089686611618,'089686611618,QTELA SINGKONG 60G,SNK,SNACK,6200,6200,8000,29.03226,N,N,0,0,48,26,81,N,0,,0,0,0,0,0,0
'089686598476,'089686598476,CHITATO AYAM 68 G,SNK,SNACK,10000,10000,12000,37.14286,N,N,0,0,48,23,185,N,0,,0,0,0,0,0,0
'089686598056,'089686598056,CHITATO SAPI PANGGANG 68G,SNK,SNACK,9500,9500,12000,26.31579,N,N,0,0,48,39,208,N,0,,0,0,0,0,0,0
'8998866201728,'8998866201728,POTABE RASA TELUR ASIN,SNK,SNACK,0,0,10000,0,N,N,0,0,24,0,23,N,0,,0,0,0,0,0,0
'8998866201490,'8998866201490,POTABE RUMPUT LAUT PANGGANG,SNK,SNACK,7900,7900,10000,21.95122,N,N,0,0,24,15,56,N,0,,0,0,0,0,0,0
'8998866202053,'8998866202053,POTABEE AYAM BAKAR 68G,MKN,NULL,8000,8000,10000,25,N,N,0,0,24,0,28,N,0,,0,0,0,0,0,0
'147,'L238,YAKULT 1 PCS,NULL,NULL,1800,1800,2500,38.88889,N,N,0,0,0,75,1537,N,0,,0,0,0,0,0,0
'089686060102,'089686060102,POP MIE GORENG PEDES GLEDEK,MIE,MIE,5050,5050,7000,38.61386,N,N,0,0,20,57,521,N,0,,0,0,0,0,0,0
'089686060362,'089686060362,POP MIE RASA SOTO AYAM,MIE,MIE,4375,4375,7000,60,N,N,0,0,15,28,164,N,0,,0,0,0,0,0,0
'8998866200820,'8998866200820,MIE SEDAP CUP AYAM BAWANG T,MIE,MIE,4250,4250,7000,64.70588,N,N,0,0,20,45,227,N,0,,0,0,0,0,0,0
'089686067002,'089686067002,POP MIE KUAH PEDES DOWER,MIE,MIE,5050,5050,7000,38.61386,N,N,0,0,20,23,335,N,0,,0,0,0,0,0,0
'8998866200844,'8998866200844,MIE SEDAP CUP KARI AYAM,MIE,MIE,4500,4625,7000,47.36842,N,N,0,0,10,83,99,N,0,,0,0,0,0,0,0
'8998866200813,'8998866200813,MIE SEDAP CUP GORENG,MIE,MIE,4500,4500,7000,55.55556,N,N,0,0,10,120,142,N,0,,0,0,0,0,0,0
'8992718853462,'8992718853462,NISSIN CUP NOODLES,MIE,MIE,0,0,8000,0,N,N,0,0,3,0,100,N,0,,0,0,0,0,0,0
'GA,'GA,GELAS + AIR,AIR,AIR,0,0,2000,0,N,N,0,0,0,100,1797,Y,0,,0,0,0,0,0,0
'110,'110,CHOK-CHOK CHOCOLATE,CKL,COKELAT,0,0,40000,0,N,N,0,0,30,0,89,N,0,,0,0,0,0,0,0
'8999999524142,'8999999524142,MAGNUM HAZELNUT LUXE,ES,ESKRIM,10900,10900,15000,37.61468,N,N,0,0,24,0,59,N,0,,0,0,0,0,0,0
'8999999538187,'8999999538187,MAGNUM MACADAIMA,ES,ESKRIM,10900,10900,15000,37.61468,N,N,0,0,24,0,228,N,0,,0,0,0,0,0,0
'8999999045555,'8999999045555,MAGNUM WHITE ALMOND,ES,ESKRIM,14532,23220,18000,23.86457,N,N,0,0,24,12,43,N,0,,0,0,0,0,0,0
'8999999005689,'8999999005689,MAGNUM CLASSIC,ES,ESKRIM,13092,13092,17000,29.85029,N,N,0,0,24,84,335,N,0,,0,0,0,0,0,0
'8999999540357,'8999999540357,FEAST DOUBLE,ES,ESKRIM,0,0,8000,0,N,N,0,0,24,0,145,N,0,,0,0,0,0,0,0
'8999999294021,'8999999294021,FEAST VANILA,ES,ESKRIM,4364,4364,7000,60.4033,N,N,0,0,24,84,125,N,0,,0,0,0,0,0,0
'8999999294038,'8999999294038,FEAST COKELAT,ES,ESKRIM,4364,4364,7000,60.4033,N,N,0,0,24,21,77,N,0,,0,0,0,0,0,0
'8999999549664,'8999999549664,MAGNUM BALI-SERIES RASPBERRY,ES,ESKRIM,16000,16000,20000,25,N,N,0,0,24,0,177,N,0,,0,0,0,0,0,0
'8999999549671,'8999999549671,MAGNUM BALI-SERIES COCONUT,ES,ESKRIM,16000,16000,20000,25,N,N,0,0,0,0,94,N,0,,0,0,0,0,0,0
'8999999513757,'8999999513757,CORNETTO OREO,ES,ESKRIM,10000,9773,13000,30,N,N,0,0,24,48,59,N,0,,0,0,0,0,0,0
'8999999034610,'8999999034610,CORNETO CHOCOLATE DISC,ES,ESKRIM,10000,10000,13000,30,N,N,0,0,24,36,134,N,0,,0,0,0,0,0,0
'8999999539450,'8999999539450,CORNETTO SILVER QUEEN,ES,ESKRIM,10092,10092,13000,28.8149,N,N,0,0,24,24,179,N,0,,0,0,0,0,0,0
'8999999282196,'8999999282196,POPULAIRE COKELAT,ES,ESKRIM,3600,3600,6000,66.66667,N,N,0,0,40,60,82,N,0,,0,0,0,0,0,0
'8999999282202,'8999999282202,POPULAIRE STRAWBERRY VANILLA,ES,ESKRIM,3600,3600,6000,66.66667,N,N,0,0,20,60,44,N,0,,0,0,0,0,0,0
'8999999048556,'8999999048556,SANDWICH VANILLA & CHOCO,ES,ESKRIM,0,0,11000,0,N,N,0,0,24,0,5,N,0,,0,0,0,0,0,0
'8999999547448,'8999999547448,WALL'S SOLERO,ES,ESKRIM,4037,4037,6000,48.62522,N,N,0,0,24,168,177,N,0,,0,0,0,0,0,0
'8999999275440,'8999999275440,PADDLE POP SHAKY SHAKE,ES,ESKRIM,8073,8073,11000,36.25666,N,N,0,0,24,12,104,N,0,,0,0,0,0,0,0
'69024894,'69024894,SNICKERS 35G,CKL,COKELAT,0,0,7000,0,N,N,0,0,48,0,175,N,0,,0,0,0,0,0,0
'6914973600362,'6914973600362,SNICKERS 51G,CKL,COKELAT,0,0,12000,0,N,N,0,0,48,0,438,N,0,,0,0,0,0,0,0
'8996001355756,'8996001355756,BENG-BENG MAX,CKL,COKELAT,2900,2900,5000,72.41379,N,N,0,0,48,132,687,N,0,,0,0,0,0,0,0
'8992772215039,'8992772215039,SOFFELL GERANUIM,OBT,OBAT NYAMUK,13500,13500,18000,33.33333,N,N,0,0,20,25,107,N,0,,0,0,0,0,0,0
'8992772315111,'8992772315111,SOFFELL KULIT JERUK,OBT,OBAT NYAMUK,0,0,18000,0,N,N,0,0,24,0,75,N,0,,0,0,0,0,0,0
'8990800100012,'8990800100012,MENTOS MINT 37G,P,PERMEN,3500,3500,6000,71.42857,Y,N,0,0,0,4,159,N,0,,0,0,0,0,0,0
'9555192508694,'9555192508694,DOUBLEMINT CHEWYMINTS 9G,P,PERMEN,0,0,3000,0,Y,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'9555192508724,'9555192508724,DOUBLEMINT CHEWYMINT LEMON 9G,P,PERMEN,0,0,3000,0,Y,N,0,0,0,0,10,N,0,,0,0,0,0,0,0
'9555192501107,'9555192501107,DOUBLEMINT13.5G,P,PERMEN,3500,3500,5000,42.85714,Y,N,0,0,0,60,678,N,0,,0,0,0,0,0,0
'8998866200301,'8998866200301,MIE SEDAP GORENG 90G,MIE,MIE,2850,2850,3500,22.80702,N,N,0,0,0,456,1513,N,0,,0,0,0,0,0,0
'089686010947,'089686010947,INDOMIE GORENG 85G,MIE,MIE,2875,2875,3500,21.73913,Y,N,0,0,0,437,380,N,0,,0,0,0,0,0,0
'089686010343,'089686010343,INDOMIE SOTO MIE 70G,MIE,MIE,2875,2875,3500,21.73913,Y,N,0,0,0,104,342,N,0,,0,0,0,0,0,0
'8998866200332,'8998866200370,MIE SEDAP KARI AYAM 72G,MIE,MIE,0,0,3000,0,Y,N,0,0,0,0,28,N,0,,0,0,0,0,0,0
'8998866200318,'8998866200318,MIE SEADAP AYAM BAWANG 70G,MIE,MIE,2850,2850,3500,22.80702,N,N,0,0,0,121,794,N,0,,0,0,0,0,0,0
'8998866200325,'8998866200325,MIE SEDAP SOTO 75G,MIE,MIE,2850,2850,3500,22.80702,Y,N,0,0,0,190,774,N,0,,0,0,0,0,0,0
'7622210737533,'7622210737533,BELVITA PISANG & SEREAL 80G,WFR,WAFFER,0,0,10000,0,Y,N,0,0,0,0,21,N,0,,0,0,0,0,0,0
'7622210609397,'7622210609397,BELVITA MADU & COKELAT 80G,WFR,WAFFER,0,0,10000,0,N,N,0,0,0,0,24,N,0,,0,0,0,0,0,0
'8886467100048,'8886467100048,PRINGLES SMOKY BBQ 107G,SNK,SNACK,21000,21000,25000,19.04762,N,N,0,0,0,19,19,N,0,,0,0,0,0,0,0
'8886467100017,'8886467100017,PRINGLES ORIGINAL 107G,SNK,SNACK,20000,20000,25000,25,N,N,0,0,0,41,191,N,0,,0,0,0,0,0,0
'8886467100031,'8886467100031,PRINGLES CHEESY CHEESE 107G,SNK,SNACK,21800,21800,24000,10.09174,N,N,0,0,0,10,70,N,0,,0,0,0,0,0,0
'8886467100062,'8886467100062,PRINGLES SALT & SEAWEED 107G,SNK,SNACK,20000,20000,25000,25,N,N,0,0,0,9,36,N,0,,0,0,0,0,0,0
'8886467100024,'8886467100024,PRINGLES SOUR CREAM & ONION,SNK,SNACK,20083,20083,25000,24.48339,N,N,0,0,0,32,192,N,0,,0,0,0,0,0,0
'8886467100260,'8886467100260,PRINGLES ORIGINAL 42G,SNK,SNACK,10500,10500,14000,33.33333,N,N,0,0,0,50,132,N,0,,0,0,0,0,0,0
'8886467100246,'8886467100246,PRINGLES SOUR CREAM ONION 42G,SNK,SNACK,10500,10500,14000,33.33333,N,N,0,0,0,27,145,N,0,,0,0,0,0,0,0
'8992760121090,'8992760121090,OREO PEANUT&CHOCOLATE 123G,SNK,SNACK,8000,8000,10000,42.85714,N,N,0,0,0,15,121,N,0,,0,0,0,0,0,0
'7622210708434,'7622210708434,OREO DARK AND WHITE CHOCOLATE,SNK,SNACK,0,0,10000,0,N,N,0,0,0,0,41,N,0,,0,0,0,0,0,0
'8992760221028,'8992760221028,OREO ORIGINAL 152G,SNK,SNACK,8000,8000,11000,37.5,N,N,0,0,0,55,419,N,0,,0,0,0,0,0,0
'8993027111601,'8993027111601,HAPPY TOS CORN CHIPS 160G,SNK,SNACK,10000,10000,14000,40,N,N,0,0,0,18,135,N,0,,0,0,0,0,0,0
'8993027121600,'8993027121600,HAPPY TOS TORTILLA CHIPS 160G,SNK,SNACK,11000,11000,14000,27.27273,N,N,0,0,0,28,100,N,0,,0,0,0,0,0,0
'8993027163907,'8993027163907,HAPPY TOS NACHO CHEESE 140G,SNK,SNACK,11000,11000,15000,36.36364,N,N,0,0,0,5,43,N,0,,0,0,0,0,0,0
'089686727036,'089686727036,DORITOS BARBEQUE 160G,SNK,SNACK,0,0,18000,0,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'089686727074,'089686727074,DORITOS ROASTED CORN 160G,SNK,SNACK,0,0,18000,0,N,N,0,0,0,0,41,N,0,,0,0,0,0,0,0
'8993027163754,'8993027163754,HAPPY TOS TORTILLA CHIPS 55G,SNK,SNACK,4500,4500,6000,33.33333,N,N,0,0,0,29,167,N,0,,0,0,0,0,0,0
'8991002103764,'8991002103764,GOOD DAY CAPPUCCINO 25G,KOPI,COFFEE,1750,1750,2500,42.85714,N,N,0,0,0,232,1625,N,0,,0,0,0,0,0,0
'8991002103238,'8991002103238,GOOD DAY MOCACINNO,KOPI,COFFEE,0,0,2000,0,N,N,0,0,0,0,97,N,0,,0,0,0,0,0,0
'8998666001306,'8998666001306,TORA BIKA CREAMY LATTE 25G,KOPI,COFFEE,0,0,2000,0,N,N,0,0,0,0,20,N,0,,0,0,0,0,0,0
'8996001440124,'8996001440124,ENERGEN VANILA 29G,SRL,SEREAL,1760,1760,2500,42.04545,N,N,0,0,0,40,194,N,0,,0,0,0,0,0,0
'8996001440087,'8996001440087,ENERGEN KACANG HIJAU 30G,SRL,SEREAL,1800,1800,2500,38.88889,N,N,0,0,0,10,129,N,0,,0,0,0,0,0,0
'8994171101289,'8994171101289,LUWAK WHITE KOFFIE ORIGINAL,KOPI,COFFEE,1400,1400,2000,75.4386,N,N,0,0,0,20,1029,N,0,,0,0,0,0,0,0
'8994231100405,'8994231100405,KOPI BANYUATIS ORIGINAL 23GR,KOPI,COFFEE,0,0,2000,0,N,N,0,0,0,0,179,N,0,,0,0,0,0,0,0
'8991002105485,'8991002105485,KOPI KAPAL API SPECIAL MIX 25G,KOPI,COFFEE,1400,1400,2000,62.60163,N,N,0,0,0,30,410,N,0,,0,0,0,0,0,0
'8991002101630,'8991002101630,KOPI ABC KOPI + SUSU 31G,KOPI,COFFEE,1400,1400,2000,42.85714,N,N,0,0,0,40,1458,N,0,,0,0,0,0,0,0
'9311931024036,'9311931024036,INDOCAFE COFFEEMIX 3 IN 1 20G,KOPI,COFFEE,0,0,2000,0,N,N,0,0,0,0,215,N,0,,0,0,0,0,0,0
'8992696420557,'8992696420557,NESCAFE 3ORIGINAL 3 IN 1 17.5G,KOPI,COFFEE,1300,1300,2000,53.84615,N,N,0,0,0,40,641,N,0,,0,0,0,0,0,0
'8991002101265,'8991002101265,KOPI ABC PLUS GULA 18G,KOPI,COFFEE,1400,1400,2000,42.85714,N,N,0,0,0,72,684,N,0,,0,0,0,0,0,0
'8993007001359,'8993007001359,INDOMILK COKELAT 37G,CKL,COKELAT,1300,1300,2000,53.84615,N,N,0,0,0,48,206,N,0,,0,0,0,0,0,0
'8993007001557,'8993007001557,INDOMILK KENTAL MANIS 37G,CKL,COKELAT,1333,1333,2500,87.54689,N,N,0,0,0,138,528,N,0,,0,0,0,0,0,0
'8997255500190,'8997255500190,KWACI 15G,C,CEMILAN,900,900,1500,66.66667,N,N,0,0,0,370,727,N,0,,0,0,0,0,0,0
'8991002105645,'8991002105645,KOPI KAPAL API KOPI + GULA 25G,KOPI,COFFEE,0,0,2000,0,N,N,0,0,0,10,334,N,0,,0,0,0,0,0,0
'89981788,'89981788,DUNHILL MENTHOL,RK,ROKOK,27800,27800,30000,7.91367,N,N,0,0,20,30,101,N,0,,0,0,0,0,0,0
'8991906105758,'8991906105758,L.A BOLD 20,RK,ROKOK,36100,36100,39000,8.03324,N,N,0,0,18,49,71,N,0,,23967.2,0,-33.60887,0,0,0
'89981115,'89981115,LUCKY STRIKE BLUE,RK,ROKOK,29000,29000,31000,6.89655,N,N,0,0,0,67,605,N,0,,23000,0,-20.68966,0,0,0
'89981108,'89981108,LUCKY STRIKE RED,RK,ROKOK,27500,27500,30000,9.09091,N,N,0,0,0,107,701,N,0,,23000,0,-16.36364,0,0,0
'8999909001626,'8999909001626,SAMPOERNA A FILTER,RK,ROKOK,12951,12951,16000,23.54258,N,N,0,0,10,0,8,N,0,,0,0,0,0,0,0
'8991926101013,'8991926101013,IN MILD MERAH,RK,ROKOK,24600,24600,28000,13.82114,N,N,0,0,30,645,983,N,0,,14706.39,14706.39,-40.21791,-40.21791,0,0
'8998989100120,'8998989100120,GUDANG GARAM FILTER INTER,RK,ROKOK,24500,24500,27000,10.20408,N,N,0,0,20,121,210,N,0,,0,0,0,0,0,0
'8999909000480,'8999909000483,AVOLUTION MENTHOL,RK,ROKOK,27000,27000,30000,11.11111,N,N,0,0,15,30,135,N,0,,27000,0,0,0,0,0
'8999909000377,'8999909000377,AVOLUTION ORIGINAL,RK,ROKOK,27000,27000,30000,11.11111,N,N,0,0,15,20,120,N,0,,27000,0,0,0,0,0
'8999909085110,'8999909085114,SAMPOERNA KRETEK,RK,ROKOK,11400,11400,13000,14.03509,N,N,0,0,10,10,283,N,0,,0,0,0,0,0,0
'8999909000544,'8999909000544,MARLBOORO FILTER BLACK,RK,ROKOK,37900,37900,40000,5.5409,N,N,0,0,85,35,121,N,0,,25200,25200,-26.53061,-26.53061,0,0
'8999909028234,'8999909028234,DJ SAM SOE KRETEK,RK,ROKOK,18250,18250,21000,15.06849,N,N,0,0,15,15,209,N,0,,0,0,0,0,0,0
'8999909028999,'8999909028999,DJI SAM SOE PREMIUM,RK,ROKOK,19300,19300,22000,13.98964,N,N,0,0,15,7,118,N,0,,0,0,0,0,0,0
'8999909010567,'8999909010567,DJI SAMSOE KRETEK 16,RK,ROKOK,24400,24400,27000,10.65574,N,N,0,0,10,23,126,N,0,,0,0,0,0,0,0
'8999909000971,'8999909000971,MAGNUM MILD 20,RK,ROKOK,22700,22700,25000,10.13216,N,N,0,0,10,10,118,N,0,,22700,0,0,0,0,0
'8999909000711,'8999909000711,MAGNUM MILD 16,RK,ROKOK,18450,18450,22000,19.24119,N,N,0,0,0,10,94,N,0,,17250,0,-6.50407,0,0,0
'8995078800008,'8995078800008,U MILD 12,RK,ROKOK,14600,14600,18000,23.28767,N,N,0,0,16,10,291,N,0,,13400,0,-8.21918,0,0,0
'8995078803078,'8995078803078,U MILD 16,RK,ROKOK,20300,20300,25000,23.15271,N,N,0,0,10,20,160,N,0,,23000,0,0,0,0,0
'8997032821012,'8997032821012,ESSE BLUE,RK,ROKOK,36900,36900,39000,5.69106,N,N,0,0,10,51,242,N,0,,25130.93,25130.93,-31.89451,-31.89451,0,0
'8997032821388,'8997032821388,ESSE CHANGE GRAPPE,RK,ROKOK,37700,37700,41000,8.75332,N,N,0,0,10,4,60,N,0,,26880,20000,-28.70027,-46.9496,0,0
'8997032821173,'8997032821173,BOHEM MOJITO,RK,ROKOK,33500,33500,28000,7.69231,N,N,0,0,10,2,68,N,0,,21300,21300,-18.07692,0,0,0
'8997032821302,'8997032821302,ESSE BERRY POP,RK,ROKOK,31200,31200,34000,8.97436,N,N,0,0,1,8,171,N,0,,20790.48,18500,-33.36386,-40.70513,0,0
'8997032821203,'8997032821203,ESSE MILD MENTHOL,RK,ROKOK,23500,23500,27000,14.89362,N,N,0,0,10,0,70,N,0,,20000,0,-11.11111,0,0,0
'8997032821272,'8997032821272,ESSE CHANGE,RK,ROKOK,37700,37700,41000,8.75332,N,N,0,0,10,31,56,N,0,,28509.09,28509.09,-24.37908,-24.37908,0,0
'8997032821319,'8997032821319,ESSE HONEY POP,RK,ROKOK,31200,31200,34000,8.97436,N,N,0,0,10,2,164,N,0,,18000,0,-42.30769,0,0,0
'8997032821227,'8997032821227,ESSE SHUFFLE POP,RK,ROKOK,31200,31200,34000,8.97436,N,N,0,0,10,6,48,N,0,,22816.67,0,-26.86966,0,0,0
'8991906101361,'8991906101361,MLD PUTIH,RK,ROKOK,25000,25000,27000,8,N,N,0,0,10,10,84,N,0,,21100,0,-15.6,0,0,0
'8999999005610,'8999999005610,MAGNUM ALMOND,ES,ESKRIM,14500,19850.4,19000,31.03448,N,N,0,0,20,108,159,N,0,,0,0,0,0,0,0
'8995077601767,'8995077601767,KACANG SUKRO POLONG,KCK,KACANG,5000,5000,8000,60,N,N,0,0,20,0,35,N,0,,0,0,0,0,0,0
'8994729100122,'8994729100122,APACHE 16,RK,ROKOK,17200,17200,20000,16.27907,N,N,0,0,20,0,20,N,0,,14750,14750,-14.24419,-14.24419,0,0
'8994729100245,'8994729100245,APACHE 12,RK,ROKOK,12800,12800,15000,17.1875,N,N,0,0,10,10,48,N,0,,12800,12800,0,0,0,0
'8997211410020,'8997211410020,MONTEZUMA,RK,ROKOK,22000,22000,27000,22.72727,N,N,0,0,7,5,94,N,0,,22000,0,0,0,0,0
'8997032821197,'8997032821197,ESSE MILD,RK,ROKOK,24000,24000,27000,12.5,N,N,0,0,20,0,16,N,0,,20000,20000,-16.66667,-11.11111,0,0
'8997032821234,'8997032821234,ESSE BLUE CHANGE,RK,ROKOK,37000,37000,40000,8.10811,N,N,0,0,10,19,185,N,0,,32266.19,0,-12.79409,0,0,0
'8997032821418,'8997032821418,ESSE JUICY,RK,ROKOK,38600,38600,40000,3.62694,N,N,0,0,10,18,109,N,0,,20960.7,20000,-42.88638,-45.50409,0,0
'8997210140010,'8997210140010,SMIRNOFF ICE 275ML,BTL,MINUMAN,22000,22000,27000,21.34831,N,N,0,0,48,192,242,N,0,,0,0,0,0,0,0
'89981764,'89981764,DUNHILL BLUE INTERNATIONAL,RK,ROKOK,27800,27800,30000,7.91367,N,N,0,0,10,30,148,N,0,,0,0,0,0,0,0
'89981757,'89981757,DUNHILL RED INTERNATIONAL,RK,ROKOK,27800,27800,30000,7.91367,N,N,0,0,10,30,28,N,0,,0,0,0,0,0,0
'8997033000973,'8997033000973,POPCORN SALTED CARAMEL,SNK,SNACK,0,0,35000,0,N,N,0,0,0,0,41,N,0,,0,0,0,0,0,0
'8997217370199,'8997217370199,CAMEL YELLOW,RK,ROKOK,27000,27000,30000,11.11111,N,N,0,0,10,185,261,N,0,,23838.69,23838.69,-11.70855,-11.70855,0,0
'4902210200804,'4902210200804,MEVIUS BLUE,RK,ROKOK,26300,26300,30000,14.06844,N,N,0,0,10,0,90,N,0,,26300,0,0,0,0,0
'01231233,'01231233,WINSTON RED,RK,ROKOK,20400,20400,22000,7.84314,N,N,0,0,10,10,75,N,0,,0,0,0,0,0,0
'01231932,'01231932,WINSTON BLUE,RK,ROKOK,20400,20400,22000,7.84314,N,N,0,0,10,10,52,N,0,,0,0,0,0,0,0
'8991926101020,'8991926101020,IN MILD MENTHOL,RK,ROKOK,24600,24600,28000,13.82114,N,N,0,0,10,199,372,N,0,,18315.18,18315.18,-25.54806,-25.54806,0,0
'8991906101101,'8991906101101,LA ICE,RK,ROKOK,24500,24500,27000,10.20408,N,N,0,0,10,3,62,N,0,,19100,0,-22.04082,0,0,0
'8991906101071,'8991906101071,LA MENTHOL,RK,ROKOK,24000,24000,26500,10.41667,N,N,0,0,10,0,31,N,0,,19100,19100,0,0,0,0
'8991906101057,'8991906101057,LA LIGHT,RK,ROKOK,25500,25500,26500,10.41667,N,N,0,0,10,14,55,N,0,,19100,0,0,0,0,0
'8998989300391,'8998989300391,GUDANG GARAM SURYA PRO PUTIH,RK,ROKOK,22700,22700,26000,14.53744,N,N,0,0,10,22,32,N,0,,0,0,0,0,0,0
'8998989121163,'8998989121163,GUDANG GARAM SURYA PRO MERAH,RK,ROKOK,18600,18600,21000,12.90323,N,N,0,0,10,10,21,N,0,,0,0,0,0,0,0
'8991906109992,'8991906109992,MLD BLACK,RK,ROKOK,17100,17100,21000,22.80702,N,N,0,0,10,0,38,N,0,,17100,0,0,0,0,0
'8997210140040,'8997210140041,SMIRNOFF RESPBERRY,BTL,MINUMAN,20625,20625,30000,45.45455,N,N,0,0,24,0,116,N,0,,0,0,0,0,0,0
'8997210140027,'8997210140027,SMIRNOFF GREEN APPLE,BTL,MINUMAN,22000,22000,27000,22.72727,N,N,0,0,24,36,207,N,0,,0,0,0,0,0,0
